date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:07	9864/9864	---M--	200	added ('OK')	image/png	etag:CKEFP1qBJjjfkpfvy7o7jeR95T1dmWctpIsQPhMwTVU=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fstylo.png&w=640&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/stylod7b3.png	(from https://engagement-integration.de/)
12:04:07	9864/9864	---M--	200	added ('OK')	image/png	etag:CKEFP1qBJjjfkpfvy7o7jeR95T1dmWctpIsQPhMwTVU=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fstylo.png&w=1080&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/stylo338c.png	(from https://engagement-integration.de/)
12:04:08	167621/167621	---MCZ	200	added ('OK')	text/html	etag:%227xphygkgre3lbc%22	https://engagement-integration.de/mentions	C:/Mes%20Sites%20Web/engament/engagement-integration.de/mentions.html	(from https://engagement-integration.de/)
12:04:09	213183/213183	---MCZ	200	added ('OK')	text/html	etag:%223ggdmd27fa4k38%22	https://engagement-integration.de/privacy-policy	C:/Mes%20Sites%20Web/engament/engagement-integration.de/privacy-policy.html	(from https://engagement-integration.de/)
12:04:10	6/6	---MC-	308	error ('Permanent%20Redirect')	unknown/unknown	date:Thu,%2003%20Sep%202026%2011:04:16%20GMT	https://engagement-integration.de/_next/	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/index.html	(from https://engagement-integration.de/_next/static/chunks/webpack-6ef3593d9570b183.js)
12:04:10	552200/552200	---M--	200	added ('OK')	image/png	etag:W/%2286d08-19eb67d8560%22	https://engagement-integration.de/assets/images/banner-2.png	C:/Mes%20Sites%20Web/engament/engagement-integration.de/assets/images/banner-2.png	(from https://engagement-integration.de/_next/static/css/dd93b8ebb88f445d.css)
12:04:11	6391/6391	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:16%20GMT	https://engagement-integration.de/e,location.origin	C:/Mes%20Sites%20Web/engament/engagement-integration.de/e,location.origin.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:12	6394/6394	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:17%20GMT	https://engagement-integration.de/window.location.href	C:/Mes%20Sites%20Web/engament/engagement-integration.de/window.location.href.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:13	6396/6396	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:18%20GMT	https://engagement-integration.de/k,window.location.href	C:/Mes%20Sites%20Web/engament/engagement-integration.de/k,window.location.href.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:14	6390/6390	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:19%20GMT	https://engagement-integration.de/(0,h.addBasePath	C:/Mes%20Sites%20Web/engament/engagement-integration.de/(0,h.addBasePath.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:14	6412/6412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:20%20GMT	https://engagement-integration.de/null!=e?e:t,t	C:/Mes%20Sites%20Web/engament/engagement-integration.de/null!=edec5.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:16	6391/6391	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:21%20GMT	https://engagement-integration.de/r,location.origin	C:/Mes%20Sites%20Web/engament/engagement-integration.de/r,location.origin.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:17	6375/6375	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:22%20GMT	https://engagement-integration.de/e	C:/Mes%20Sites%20Web/engament/engagement-integration.de/e.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:18	6377/6377	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:23%20GMT	https://engagement-integration.de/p,r	C:/Mes%20Sites%20Web/engament/engagement-integration.de/p,r.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
12:04:18	6390/6390	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:04:24%20GMT	https://engagement-integration.de/(0,u.addBasePath	C:/Mes%20Sites%20Web/engament/engagement-integration.de/(0,u.addBasePath.html	(from https://engagement-integration.de/_next/static/chunks/69-72bac779662cd075.js)
